product_id,product_name,category,price,stock_quantity
1,MediumOrchid T-Shirt,Clothing,744.12,125
2,Multi-tiered radical moderator - Financial,Books,148.13,52
3,Persevering motivating portal,Health & Wellness,96.06,216
4,Optional bandwidth-monitored utilization Phone,Electronics,102.75,119
5,Total bifurcated projection,Health & Wellness,605.99,287
6,Streamlined zero administration neural-net - Set,Books,718.85,359
7,Extended intermediate knowledge user,Health & Wellness,425.31,229
8,Focused incremental Graphical User Interface,Food & Beverages,285.4,445
9,Persevering impactful instruction set Tablet,Electronics,701.15,174
10,Upgradable bandwidth-monitored functionalities,Sports & Outdoors,163.91,490
11,Optimized foreground secured line,Beauty & Personal Care,111.18,194
12,LightCyan Jacket,Clothing,849.01,309
13,Multi-layered coherent software,Sports & Outdoors,809.05,373
14,Phased asymmetric array,Automotive,540.86,498
15,Configurable background Internet solution,Toys & Games,88.0,150
16,Cross-platform value-added support,Food & Beverages,886.59,185
17,Multi-layered clear-thinking open architecture,Food & Beverages,200.36,35
18,Centralized optimizing open architecture Camera,Electronics,235.61,148
19,MediumPurple Jeans,Clothing,867.81,194
20,Synchronized bottom-line installation,Sports & Outdoors,458.87,427
21,Multi-channeled static system engine,Beauty & Personal Care,171.02,181
22,Optimized uniform application - Field,Books,673.46,359
23,Magenta Shoes,Clothing,638.62,273
24,Multi-channeled bi-directional orchestration - Movement,Books,171.76,194
25,Extended coherent protocol,Sports & Outdoors,989.62,327
26,Polarized directional benchmark,Health & Wellness,227.41,166
27,Monitored next generation hub Tablet,Electronics,823.57,412
28,Customizable well-modulated focus group,Beauty & Personal Care,407.14,33
29,Re-engineered directional workforce - Laugh,Books,913.99,290
30,Realigned zero administration process improvement,Beauty & Personal Care,220.49,255
31,Seamless systematic project,Toys & Games,885.83,329
32,Realigned 4thgeneration portal,Automotive,151.43,71
33,Switchable system-worthy flexibility - Air,Books,747.53,275
34,Enterprise-wide encompassing standardization,Sports & Outdoors,749.53,219
35,Virtual fault-tolerant Graphical User Interface,Food & Beverages,405.4,112
36,Table have,Home & Kitchen,498.57,386
37,Adaptive contextually-based circuit Phone,Electronics,161.3,81
38,Re-contextualized stable initiative,Toys & Games,600.43,197
39,Cloned client-server support,Toys & Games,599.92,239
40,Sharable 4thgeneration array,Health & Wellness,258.89,283
41,User-friendly multi-tasking data-warehouse Camera,Electronics,723.5,349
42,Multi-tiered intangible knowledgebase,Health & Wellness,753.36,393
43,Mandatory cohesive hub,Beauty & Personal Care,120.43,222
44,Chair forget,Home & Kitchen,13.2,369
45,Up-sized fresh-thinking time-frame,Sports & Outdoors,972.16,390
46,Table year,Home & Kitchen,913.49,445
47,Re-contextualized radical artificial intelligence,Sports & Outdoors,843.24,259
48,Business-focused coherent complexity,Food & Beverages,206.91,191
49,Table somebody,Home & Kitchen,953.95,472
50,Secured actuating service-desk,Health & Wellness,919.3,306
